Status,Campaign ID,Program,Domain,Payout,Type,Deeplink allowed,Affiliate link
Pre-approved (open),7888,Supersports - TH,supersports.co.th,5.25%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.supersports.co.th%2F
Pre-approved (open),80640,SuperYou,superyou.in,2.63%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fsuperyou.in%2F
Pre-approved (open),23641,Surebeauty,surebeauty.com,6%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fsurebeauty.com%2Fcollections%2Fbody-sculpting-machine
Pre-approved (open),80832,Surfshark,surfshark.com,3177.18 INR,CPS,No,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fsurfshark.com%2Fdeal%2Fone
Pre-approved (open),36209,SurveyMonkey,surveymonkey.com,3.75%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.surveymonkey.com%2F
Pre-approved (open),7443,surveysparrow,surveysparrow.com,13.13%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fsurveysparrow.com%2F
Pre-approved (open),19034,Suunto,suunto.com,7.5%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fus.suunto.com%2F
Pre-approved (open),56866,Suvasa,suvasa.in,2.63%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fsuvasa.in%2F
Pre-approved (open),76891,Svastika,svastika.in,9%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fsvastika.in%2F
Pre-approved (open),7334,Svens Skincare,svensskincare.com,15%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.svensskincare.com%2F
Pre-approved (open),8873,Sweetnight (US),sweetnight.com,3.75%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.sweetnight.com%2F
Pre-approved (open),4494,Swisse,swisse.co.in,11.25%,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fswisse.co.in%2F
Pre-approved (open),6250,Switcher Studio,switcherstudio.com,19452.2 INR,CPS,Yes,https://linksredirect.com/?cid=226556&source=api&url=https%3A%2F%2Fwww.switcherstudio.com%2F
